Party,Won,Leading,Total
Aam Aadmi Party,2,0,2
Bharatiya Janata Party,20,0,20
Goa Forward Party,1,0,1
Independent,3,0,3
Indian National Congress,11,0,11
Maharashtrawadi Gomantak,2,0,2
Revolutionary Goans Party,1,0,1
